import time: self [us] | cumulative | imported package
import time:       233 |        233 | winreg
import time:      1036 |       1036 |   _io
import time:        89 |         89 |   marshal
import time:       286 |        286 |   nt
import time:      1253 |       2662 | _frozen_importlib_external
import time:      1260 |       1260 |   time
import time:       272 |       1531 | zipimport
import time:        88 |         88 |     _codecs
import time:       529 |        617 |   codecs
import time:      2573 |       2573 |   encodings.aliases
import time:      3973 |       7162 | encodings
import time:      1213 |       1213 | encodings.utf_8
import time:      1305 |       1305 | encodings.cp1252
import time:        95 |         95 | _signal
import time:        46 |         46 |     _abc
import time:       177 |        223 |   abc
import time:       238 |        460 | io
import time:       100 |        100 |       _stat
import time:       178 |        277 |     stat
import time:      1083 |       1083 |     _collections_abc
import time:        57 |         57 |       genericpath
import time:       138 |        138 |       _winapi
import time:       732 |        927 |     ntpath
import time:       496 |       2783 |   os
import time:       114 |        114 |   _sitebuiltins
import time:      3200 |       3200 |   _distutils_hack
import time:      1371 |       1371 |   sitecustomize
import time:       779 |        779 |   usercustomize
import time:      3858 |      12101 | site
import time:       223 |        223 | math
import time:      1804 |       1804 |         types
import time:       178 |        178 |           _operator
import time:      2025 |       2202 |         operator
import time:       211 |        211 |             itertools
import time:      1415 |       1415 |             keyword
import time:      2737 |       2737 |             reprlib
import time:       170 |        170 |             _collections
import time:      2882 |       7413 |           collections
import time:       121 |        121 |           _functools
import time:      3741 |      11274 |         functools
import time:      5423 |      20702 |       enum
import time:       570 |        570 |         _sre
import time:      1968 |       1968 |           re._constants
import time:      1870 |       3838 |         re._parser
import time:      1258 |       1258 |         re._casefix
import time:      2138 |       7803 |       re._compiler
import time:      5455 |       5455 |       copyreg
import time:      2484 |      36442 |     re
import time:     15300 |      51742 |   shlex
import time:      4398 |       4398 |         posix
import time:       235 |       4633 |       posixpath
import time:      1685 |       6318 |     fnmatch
import time:       267 |        267 |     errno
import time:       246 |        246 |     zlib
import time:      1766 |       1766 |       _compression
import time:      3195 |       3195 |       _bz2
import time:      2160 |       7120 |     bz2
import time:      1971 |       1971 |       _lzma
import time:      2020 |       3990 |     lzma
import time:      2566 |      20504 |   shutil
import time:       162 |        162 |       _locale
import time:      3571 |       3733 |     locale
import time:      2104 |       2104 |     signal
import time:      1556 |       1556 |       _weakrefset
import time:      2249 |       3804 |     threading
import time:      1932 |       1932 |     warnings
import time:      4441 |       4441 |     contextlib
import time:      1028 |       1028 |     fcntl
import time:       106 |        106 |     msvcrt
import time:      4886 |      22031 |   subprocess
import time:      2460 |      96735 | webbrowser
import time:      1499 |       1499 |     __future__
import time:      2605 |       2605 |         collections.abc
import time:      3738 |       3738 |             token
import time:      3048 |       6785 |           tokenize
import time:     14911 |      21695 |         linecache
import time:      2847 |       2847 |         textwrap
import time:      2243 |      29390 |       traceback
import time:      2022 |       2022 |       weakref
import time:       101 |        101 |         _string
import time:      3685 |       3786 |       string
import time:       112 |        112 |       atexit
import time:      4667 |      39976 |     logging
import time:       102 |        102 |       _typing
import time:      8683 |       8784 |     typing
import time:      4600 |       4600 |         _socket
import time:      1897 |       1897 |           select
import time:      4746 |       6643 |         selectors
import time:      3420 |      14662 |       socket
import time:      1573 |       1573 |         email
import time:      2345 |       3918 |       email.errors
import time:      2803 |       2803 |         http
import time:       173 |        173 |                 binascii
import time:      1559 |       1559 |                 email.quoprimime
import time:       169 |        169 |                       _struct
import time:      1519 |       1688 |                     struct
import time:      1699 |       3387 |                   base64
import time:      1086 |       4472 |                 email.base64mime
import time:      1655 |       1655 |                     quopri
import time:      1363 |       3018 |                   email.encoders
import time:      3813 |       6830 |                 email.charset
import time:      3422 |      16454 |               email.header
import time:       116 |        116 |                     _bisect
import time:      6435 |       6551 |                   bisect
import time:        73 |         73 |                   _random
import time:        55 |         55 |                   _sha512
import time:      7329 |      14006 |                 random
import time:       226 |        226 |                   _datetime
import time:      2999 |       3225 |                 datetime
import time:      1458 |       1458 |                   urllib
import time:      3734 |       3734 |                   ipaddress
import time:      6195 |      11386 |                 urllib.parse
import time:      2633 |       2633 |                   calendar
import time:      1718 |       4350 |                 email._parseaddr
import time:      2059 |      35024 |               email.utils
import time:      1898 |      53376 |             email._policybase
import time:      1933 |      55309 |           email.feedparser
import time:      1420 |      56728 |         email.parser
import time:      1892 |       1892 |           email._encoded_words
import time:      1527 |       1527 |           email.iterators
import time:      2343 |       5762 |         email.message
import time:      5371 |       5371 |           _ssl
import time:     24197 |      29568 |         ssl
import time:      5330 |     100189 |       http.client
import time:      2832 |     121599 |     urllib3.exceptions
import time:      2164 |       2164 |             urllib3.util.timeout
import time:      4506 |       6670 |           urllib3.util.connection
import time:       821 |        821 |             urllib3.util.util
import time:       944 |        944 |             brotlicffi
import time:       990 |        990 |             brotli
import time:       990 |        990 |             zstandard
import time:      4126 |       7868 |           urllib3.util.request
import time:       856 |        856 |           urllib3.util.response
import time:      4844 |       4844 |           urllib3.util.retry
import time:      3497 |       3497 |               _hashlib
import time:       280 |        280 |                 _blake2
import time:      2176 |       2455 |               hashlib
import time:      1651 |       7601 |             hmac
import time:     16132 |      16132 |             urllib3.util.url
import time:      1322 |       1322 |             urllib3.util.ssltransport
import time:      1462 |      26516 |           urllib3.util.ssl_
